fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldHcType,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
FRIGG,,Shut down,25/1-1,22.07.1971,North sea,,,,GAS,,43555,190,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43555,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43555,23.01.2024,23.01.2024,14.04.2024
FRØY,Aker BP ASA,Shut down,25/5-1,01.08.1987,North sea,PRODUCTION LICENSE,364,,OIL,3810636.0,43597,884,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43597,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43597,02.01.2024,02.01.2024,14.04.2024
FULLA,Aker BP ASA,Approved for production,30/11-7,03.02.2009,North sea,PRODUCTION LICENSE,873,,OIL/CONDENSATE,28973585.0,42002479,5919,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002479,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002479,02.01.2024,02.01.2024,14.04.2024
GAUPE,,Shut down,6/3-1,01.02.1985,North sea,,,,OIL/GAS,,18161341,450,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18161341,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18161341,02.01.2024,02.01.2024,14.04.2024
GIMLE,Equinor Energy AS,Producing,34/10-48 S,22.12.2004,North sea,BUSINESS ARRANGEMENT AREA,BRIME UNIT,Mongstad,OIL,41319867.0,4005142,4902,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4005142,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4005142,02.01.2024,02.01.2024,14.04.2024
GINA KROG,Equinor Energy AS,Producing,15/5-1,08.04.1978,North sea,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,Dusavik,OIL/GAS,23412556.0,23384544,315,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384544,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384544,02.01.2024,01.03.2024,14.04.2024
GJØA,Vår Energi Norge AS,Producing,35/9-1,07.05.1989,North sea,PRODUCTION LICENSE,153,Florø,OIL/GAS,22036.0,4467574,1375,50000114.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4467574,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467574,03.04.2024,01.03.2024,14.04.2024
GLITNE,Equinor Energy AS,Shut down,15/5-5,05.10.1995,North sea,PRODUCTION LICENSE,1140,Dusavik,OIL,38723926.0,1272071,2635,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1272071,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1272071,02.01.2024,02.01.2024,14.04.2024
GOLIAT,Vår Energi ASA,Producing,7122/7-1,05.10.2000,Barents sea,PRODUCTION LICENSE,229,Hammerfest,OIL,22644.0,5774394,4173,50000032.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=5774394,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=5774394,03.04.2024,01.03.2024,14.04.2024
GRANE,Equinor Energy AS,Producing,25/11-15,25.12.1991,North sea,BUSINESS ARRANGEMENT AREA,GRANE UNIT,Dusavik,OIL,1031365.0,1035937,1872,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1035937,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1035937,02.01.2024,01.03.2024,14.04.2024
GUDRUN,Equinor Energy AS,Producing,15/3-1 S,06.07.1975,North sea,PRODUCTION LICENSE,025,Dusavik,GAS/CONDENSATE,34512.0,18116481,309,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18116481,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18116481,02.01.2024,01.03.2024,14.04.2024
