"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"ALVHEIM",2845712,2020,11," ","Sm3",450888,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,12," ","Sm3",571480,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,1," ","Sm3",538219,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,2," ","Sm3",557181,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,3," ","Sm3",617320,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,4," ","Sm3",359391,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,5," ","Sm3",630267,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,6," ","Sm3",587986,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,7," ","Sm3",626624,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,8," ","Sm3",639395,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,9," ","Sm3",600964,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,10," ","Sm3",639310,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,11," ","Sm3",557043,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021,12," ","Sm3",500453,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,1," ","Sm3",567438,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,2," ","Sm3",489340,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,3," ","Sm3",549671,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,4," ","Sm3",564062,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,5," ","Sm3",623711,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,6," ","Sm3",610897,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,7," ","Sm3",678823,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,8," ","Sm3",681400,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,9," ","Sm3",663868,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,10," ","Sm3",624498,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,11," ","Sm3",676005,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022,12," ","Sm3",710165,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,1," ","Sm3",677018,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,2," ","Sm3",651625,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,3," ","Sm3",557928,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,4," ","Sm3",587640,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,5," ","Sm3",625139,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,6," ","Sm3",602999,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,7," ","Sm3",605224,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,8," ","Sm3",631396,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,9," ","Sm3",269857,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,10," ","Sm3",636948,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,11," ","Sm3",21696,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023,12," ","Sm3",505077,"Sm3"," ","Sm3"," ","Sm3"
