Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase,Curve
255.0,921.0,706.2,0.001416,478.87,609.29,1.7803,0.94164,1.4566,655.3,-0.00099064,0.06712,0.087555,supercritical,"liquid, T = 255 C"
255.0,931.0,709.78,0.0014089,478.14,609.31,1.7776,0.94206,1.456,659.28,-0.0017051,0.067614,0.088022,supercritical,"liquid, T = 255 C"
255.0,941.0,713.31,0.0014019,477.42,609.34,1.775,0.94247,1.4553,663.24,-0.0024018,0.068106,0.088488,supercritical,"liquid, T = 255 C"
255.0,951.0,716.8,0.0013951,476.7,609.38,1.7724,0.94289,1.4547,667.18,-0.0030814,0.068596,0.088951,supercritical,"liquid, T = 255 C"
255.0,961.0,720.24,0.0013884,476.0,609.43,1.7699,0.94331,1.454,671.11,-0.0037444,0.069084,0.089412,supercritical,"liquid, T = 255 C"
255.0,971.0,723.65,0.0013819,475.3,609.49,1.7674,0.94372,1.4534,675.01,-0.0043914,0.06957,0.08987,supercritical,"liquid, T = 255 C"
255.0,981.0,727.0,0.0013755,474.62,609.55,1.7649,0.94414,1.4527,678.89,-0.0050227,0.070055,0.090327,supercritical,"liquid, T = 255 C"
255.0,991.0,730.32,0.0013693,473.94,609.63,1.7625,0.94455,1.4521,682.76,-0.0056389,0.070538,0.090781,supercritical,"liquid, T = 255 C"
255.0,1001.0,733.6,0.0013631,473.27,609.72,1.76,0.94497,1.4514,686.61,-0.0062405,0.071018,0.091233,supercritical,"liquid, T = 255 C"
,,,,,,,,,,,,,,
0.0,1.0,1.9508,0.51261,433.62,484.89,2.6659,0.63197,0.82672,258.09,1.3721,0.013709,0.014743,vapor,"vapor, T = 0 C"
0.0,11.0,23.106,0.043278,425.14,472.75,2.1814,0.67269,0.94359,247.53,1.3831,0.013798,0.015469,vapor,"vapor, T = 0 C"
0.0,21.0,48.39,0.020666,415.03,458.43,2.0206,0.72705,1.133,235.24,1.3992,0.013977,0.016609,vapor,"vapor, T = 0 C"
0.0,31.0,81.147,0.012323,401.89,440.09,1.8948,0.81478,1.5319,219.75,1.4172,0.01433,0.01879,vapor,"vapor, T = 0 C"
0.0,34.851,97.647,0.010241,395.2,430.89,1.8453,0.8722,1.8648,212.04,1.4227,0.014561,0.020401,vapor,"vapor, T = 0 C"
0.0,34.851,927.43,0.0010782,196.24,200.0,1.0,0.94493,2.5423,536.44,0.043249,0.1004,0.10915,liquid,"liquid, T = 0 C"
0.0,41.0,932.99,0.0010718,194.96,199.36,0.99523,0.94009,2.4863,550.07,0.039721,0.102,0.1103,liquid,"liquid, T = 0 C"
0.0,51.0,941.32,0.0010623,193.03,198.45,0.988,0.9349,2.4103,569.54,0.034808,0.10446,0.11206,liquid,"liquid, T = 0 C"
0.0,61.0,948.94,0.0010538,191.24,197.67,0.98128,0.93171,2.3479,586.69,0.03065,0.10679,0.11372,liquid,"liquid, T = 0 C"
0.0,71.0,956.0,0.001046,189.58,197.0,0.97498,0.9297,2.2953,602.17,0.027053,0.109,0.11529,liquid,"liquid, T = 0 C"
0.0,81.0,962.58,0.0010389,188.01,196.42,0.96905,0.92843,2.2501,616.4,0.023892,0.11112,0.11679,liquid,"liquid, T = 0 C"
0.0,91.0,968.77,0.0010322,186.53,195.92,0.96343,0.92764,2.2107,629.66,0.021079,0.11316,0.11823,liquid,"liquid, T = 0 C"
0.0,101.0,974.62,0.001026,185.13,195.49,0.95807,0.92717,2.176,642.12,0.018551,0.11514,0.11961,liquid,"liquid, T = 0 C"
0.0,111.0,980.17,0.0010202,183.79,195.11,0.95295,0.92693,2.1451,653.92,0.016261,0.11706,0.12094,liquid,"liquid, T = 0 C"
0.0,121.0,985.46,0.0010148,182.51,194.79,0.94804,0.92686,2.1173,665.16,0.014172,0.11892,0.12223,liquid,"liquid, T = 0 C"
0.0,131.0,990.51,0.0010096,181.29,194.51,0.94332,0.9269,2.0921,675.91,0.012256,0.12074,0.12348,liquid,"liquid, T = 0 C"
0.0,141.0,995.34,0.0010047,180.11,194.28,0.93876,0.92704,2.0692,686.24,0.010489,0.12252,0.1247,liquid,"liquid, T = 0 C"
0.0,151.0,999.99,0.001,178.98,194.08,0.93436,0.92724,2.0482,696.19,0.0088534,0.12426,0.12588,liquid,"liquid, T = 0 C"
0.0,161.0,1004.5,0.00099556,177.88,193.91,0.93011,0.92749,2.0289,705.8,0.0073323,0.12597,0.12703,liquid,"liquid, T = 0 C"
0.0,171.0,1008.8,0.0009913,176.83,193.78,0.92598,0.92778,2.0111,715.11,0.0059134,0.12764,0.12816,liquid,"liquid, T = 0 C"
0.0,181.0,1012.9,0.00098722,175.8,193.67,0.92198,0.92811,1.9946,724.14,0.0045856,0.12929,0.12926,liquid,"liquid, T = 0 C"
0.0,191.0,1017.0,0.0009833,174.81,193.59,0.91808,0.92846,1.9792,732.91,0.0033396,0.13091,0.13033,liquid,"liquid, T = 0 C"
0.0,201.0,1020.9,0.00097954,173.85,193.54,0.91429,0.92882,1.9648,741.45,0.0021674,0.13251,0.13139,liquid,"liquid, T = 0 C"
0.0,211.0,1024.7,0.00097592,172.92,193.51,0.9106,0.92921,1.9513,749.78,0.0010621,0.13408,0.13242,liquid,"liquid, T = 0 C"
0.0,221.0,1028.4,0.00097242,172.01,193.5,0.90699,0.92961,1.9387,757.9,1.7515e-05,0.13563,0.13344,liquid,"liquid, T = 0 C"
0.0,231.0,1031.9,0.00096905,171.12,193.51,0.90347,0.93002,1.9268,765.84,-0.0009715,0.13717,0.13443,liquid,"liquid, T = 0 C"
0.0,241.0,1035.4,0.00096579,170.26,193.54,0.90003,0.93043,1.9156,773.61,-0.0019096,0.13868,0.13541,liquid,"liquid, T = 0 C"
0.0,251.0,1038.8,0.00096263,169.42,193.58,0.89667,0.93086,1.9049,781.21,-0.002801,0.14018,0.13637,liquid,"liquid, T = 0 C"
0.0,261.0,1042.1,0.00095957,168.6,193.64,0.89337,0.93128,1.8949,788.65,-0.0036493,0.14166,0.13732,liquid,"liquid, T = 0 C"
0.0,271.0,1045.4,0.0009566,167.79,193.72,0.89015,0.93172,1.8854,795.95,-0.0044577,0.14312,0.13826,liquid,"liquid, T = 0 C"
0.0,281.0,1048.5,0.00095372,167.01,193.81,0.88698,0.93215,1.8763,803.11,-0.0052291,0.14457,0.13918,liquid,"liquid, T = 0 C"
0.0,291.0,1051.6,0.00095092,166.24,193.91,0.88388,0.93259,1.8677,810.14,-0.0059663,0.14601,0.14008,liquid,"liquid, T = 0 C"
0.0,301.0,1054.6,0.0009482,165.49,194.03,0.88083,0.93304,1.8595,817.05,-0.0066716,0.14743,0.14098,liquid,"liquid, T = 0 C"
0.0,311.0,1057.6,0.00094555,164.76,194.16,0.87784,0.93348,1.8516,823.83,-0.007347,0.14884,0.14186,liquid,"liquid, T = 0 C"
0.0,321.0,1060.5,0.00094297,164.03,194.3,0.87491,0.93393,1.8441,830.51,-0.0079946,0.15024,0.14273,liquid,"liquid, T = 0 C"
0.0,331.0,1063.3,0.00094046,163.33,194.46,0.87202,0.93437,1.837,837.08,-0.0086162,0.15162,0.14359,liquid,"liquid, T = 0 C"
0.0,341.0,1066.1,0.00093801,162.63,194.62,0.86918,0.93482,1.8301,843.54,-0.0092133,0.153,0.14444,liquid,"liquid, T = 0 C"
0.0,351.0,1068.8,0.00093562,161.95,194.79,0.86638,0.93527,1.8235,849.91,-0.0097875,0.15437,0.14528,liquid,"liquid, T = 0 C"
0.0,361.0,1071.5,0.00093328,161.29,194.98,0.86363,0.93572,1.8172,856.18,-0.01034,0.15572,0.14611,liquid,"liquid, T = 0 C"
0.0,371.0,1074.1,0.000931,160.63,195.17,0.86093,0.93617,1.8111,862.35,-0.010872,0.15707,0.14693,liquid,"liquid, T = 0 C"
0.0,381.0,1076.7,0.00092877,159.98,195.37,0.85826,0.93662,1.8053,868.45,-0.011385,0.1584,0.14774,liquid,"liquid, T = 0 C"
0.0,391.0,1079.2,0.00092659,159.35,195.58,0.85563,0.93707,1.7997,874.45,-0.01188,0.15973,0.14855,liquid,"liquid, T = 0 C"
0.0,401.0,1081.7,0.00092446,158.73,195.8,0.85304,0.93753,1.7943,880.38,-0.012358,0.16105,0.14934,liquid,"liquid, T = 0 C"
0.0,411.0,1084.2,0.00092237,158.11,196.02,0.85048,0.93798,1.789,886.23,-0.012819,0.16236,0.15013,liquid,"liquid, T = 0 C"
0.0,421.0,1086.6,0.00092033,157.51,196.26,0.84796,0.93843,1.784,892.0,-0.013265,0.16367,0.15091,liquid,"liquid, T = 0 C"
0.0,431.0,1088.9,0.00091832,156.92,196.5,0.84548,0.93888,1.7792,897.7,-0.013696,0.16496,0.15168,liquid,"liquid, T = 0 C"
0.0,441.0,1091.3,0.00091636,156.33,196.74,0.84302,0.93933,1.7745,903.32,-0.014114,0.16625,0.15244,liquid,"liquid, T = 0 C"
0.0,451.0,1093.6,0.00091444,155.76,197.0,0.8406,0.93979,1.7699,908.88,-0.014518,0.16754,0.1532,liquid,"liquid, T = 0 C"
0.0,461.0,1095.8,0.00091255,155.19,197.26,0.83821,0.94024,1.7655,914.37,-0.014909,0.16881,0.15395,liquid,"liquid, T = 0 C"
0.0,471.0,1098.1,0.00091069,154.63,197.52,0.83585,0.94069,1.7613,919.8,-0.015289,0.17008,0.1547,liquid,"liquid, T = 0 C"
0.0,481.0,1100.3,0.00090888,154.08,197.8,0.83351,0.94115,1.7572,925.17,-0.015657,0.17135,0.15544,liquid,"liquid, T = 0 C"
0.0,491.0,1102.4,0.00090709,153.54,198.07,0.83121,0.9416,1.7532,930.47,-0.016014,0.1726,0.15617,liquid,"liquid, T = 0 C"
0.0,501.0,1104.6,0.00090534,153.0,198.36,0.82893,0.94205,1.7493,935.72,-0.016361,0.17385,0.15689,liquid,"liquid, T = 0 C"
0.0,511.0,1106.7,0.00090361,152.47,198.65,0.82667,0.94251,1.7456,940.9,-0.016697,0.1751,0.15762,liquid,"liquid, T = 0 C"
0.0,521.0,1108.7,0.00090192,151.95,198.94,0.82444,0.94296,1.742,946.03,-0.017025,0.17634,0.15833,liquid,"liquid, T = 0 C"
0.0,531.0,1110.8,0.00090025,151.44,199.24,0.82224,0.94342,1.7384,951.11,-0.017343,0.17758,0.15904,liquid,"liquid, T = 0 C"
0.0,541.0,1112.8,0.00089862,150.93,199.54,0.82006,0.94387,1.735,956.14,-0.017652,0.17881,0.15974,liquid,"liquid, T = 0 C"
0.0,551.0,1114.8,0.00089701,150.43,199.85,0.8179,0.94433,1.7317,961.11,-0.017953,0.18003,0.16044,liquid,"liquid, T = 0 C"
0.0,561.0,1116.8,0.00089542,149.93,200.17,0.81577,0.94478,1.7285,966.03,-0.018246,0.18125,0.16114,liquid,"liquid, T = 0 C"
0.0,571.0,1118.7,0.00089386,149.44,200.48,0.81366,0.94524,1.7253,970.9,-0.018531,0.18247,0.16183,liquid,"liquid, T = 0 C"
0.0,581.0,1120.7,0.00089233,148.96,200.81,0.81156,0.94569,1.7223,975.73,-0.018808,0.18368,0.16251,liquid,"liquid, T = 0 C"
0.0,591.0,1122.6,0.00089082,148.48,201.13,0.80949,0.94615,1.7193,980.51,-0.019079,0.18489,0.16319,liquid,"liquid, T = 0 C"
0.0,601.0,1124.4,0.00088933,148.01,201.46,0.80744,0.9466,1.7164,985.24,-0.019342,0.18609,0.16386,liquid,"liquid, T = 0 C"
0.0,611.0,1126.3,0.00088786,147.55,201.8,0.80541,0.94706,1.7136,989.93,-0.019599,0.18729,0.16453,liquid,"liquid, T = 0 C"
0.0,621.0,1128.1,0.00088642,147.09,202.13,0.8034,0.94752,1.7108,994.57,-0.01985,0.18848,0.1652,liquid,"liquid, T = 0 C"
